PUBLICATION_DATE,UID,TAXA_ID,SITE_ID,DATE_COL,VISIT_NO,EPA_REG,STATE,SITESAMP,UNIQUE_ID,AG_ECO9,SAMPLE_TYPE,IS_DISTINCT,IS_DISTINCT300,TOTAL,TOTAL300,TARGET_TAXON,NON_TARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,PTV
2/10/2021,2014737,5131,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,FAXONIUS,,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,,FAXONIUS,,,
2/10/2021,2014737,3847,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,3,3,HYDROPTILIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,,,,PI,CB,3.8
2/10/2021,2014737,4178,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,3,2,POLYPEDILUM,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,POLYPEDILUM,SH,"CB,CN",5.5
2/10/2021,2014737,3729,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,1,FALLCEON,,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,FALLCEON,SH,SW,3.2
2/10/2021,2014737,3717,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,ERPOBDELLA,,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIDAE,,,ERPOBDELLA,PR,SP,8
2/10/2021,2014737,4940,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,ALLOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,ALLOCLADIUS,,,
2/10/2021,2014737,3981,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,1,MICROPSECTRA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,MICROPSECTRA,CG,"CB,CN,SP",6
2/10/2021,2014737,4158,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,47,33,PISIDIIDAE,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,,,CF,BU,8
2/10/2021,2014737,4121,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,8,4,PARATENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PARATENDIPES,CG,BU,5.4
2/10/2021,2014737,3697,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,ENCHYTRAEIDAE,,ANNELIDA,OLIGOCHAETA,ENCHYTRAEIDA,ENCHYTRAEIDAE,,,,CG,BU,9
